AVERAGE DIFFERENCE SP 3: -10.57%
AVERAGE DIFFERENCE SP 5 -19.05%
AVERAGE DIFFERENCE MCNF 3: 8.32%
AVERAGE DIFFERENCE MCNF 5: 45.07%

ID	ISLS	ISLS2	ISLS3	ISLS4	ISLS5	ISLS6	ISLS3/ISLS	ISLS5/ISLS	ISLS4/ISLS2	ISLS6/ISLS2
92	6		6		6		6		6		6		0.00		0.00		0.00		0.00
93	17		17		1		17		1		17		-0.94		-0.94		0.00		0.00
94	13		13		13		13		13		13		0.00		0.00		0.00		0.00
95	18		18		1		1		1		1		-0.94		-0.94		-0.94		-0.94
96	16		16		16		16		16		16		0.00		0.00		0.00		0.00
97	17		17		17		17		2		2		0.00		-0.88		0.00		-0.88
98	15		15		15		15		15		15		0.00		0.00		0.00		0.00
99	19		18		19		18		2		17		0.00		-0.89		0.00		-0.06
AVERAGE DIFFERENCE SP 3: -10.57%
AVERAGE DIFFERENCE SP 5 -19.05%
AVERAGE DIFFERENCE MCNF 3: 8.32%
AVERAGE DIFFERENCE MCNF 5: 45.07%

ID	ISLS	ISLS2	ISLS3	ISLS4	ISLS5	ISLS6	ISLS3/ISLS	ISLS5/ISLS	ISLS4/ISLS2	ISLS6/ISLS2
0	9		9		9		9		9		9		0.00		0.00		0.00		0.00
1	13		13		13		13		13		13		0.00		0.00		0.00		0.00
2	9		9		9		9		9		9		0.00		0.00		0.00		0.00
3	19		19		1		1		1		1		-0.95		-0.95		-0.95		-0.95
4	13		13		13		13		13		13		0.00		0.00		0.00		0.00
5	2		2		2		19		2		17		0.00		0.00		8.50		7.50
6	17		17		1		17		1		17		-0.94		-0.94		0.00		0.00
7	15		15		15		15		2		2		0.00		-0.87		0.00		-0.87
8	9		9		9		9		9		9		0.00		0.00		0.00		0.00
9	14		14		14		14		14		14		0.00		0.00		0.00		0.00
10	3		3		2		2		1		1		-0.33		-0.67		-0.33		-0.67
11	2		2		1		1		1		18		-0.50		-0.50		-0.50		8.00
12	19		19		1		1		1		1		-0.95		-0.95		-0.95		-0.95
13	15		15		15		15		15		15		0.00		0.00		0.00		0.00
14	13		13		13		13		13		13		0.00		0.00		0.00		0.00
15	10		10		10		10		10		10		0.00		0.00		0.00		0.00
16	10		10		10		10		10		10		0.00		0.00		0.00		0.00
17	9		9		9		9		9		9		0.00		0.00		0.00		0.00
18	8		8		8		8		8		8		0.00		0.00		0.00		0.00
19	5		5		5		5		5		5		0.00		0.00		0.00		0.00
20	12		12		12		12		12		12		0.00		0.00		0.00		0.00
21	10		10		10		10		10		10		0.00		0.00		0.00		0.00
22	11		11		11		11		11		11		0.00		0.00		0.00		0.00
23	10		10		10		10		10		10		0.00		0.00		0.00		0.00
24	7		7		7		7		7		7		0.00		0.00		0.00		0.00
25	3		3		1		1		1		17		-0.67		-0.67		-0.67		4.67
26	9		9		9		9		9		9		0.00		0.00		0.00		0.00
27	10		10		10		10		10		10		0.00		0.00		0.00		0.00
28	20		20		1		1		1		20		-0.95		-0.95		-0.95		0.00
29	9		9		9		9		9		9		0.00		0.00		0.00		0.00
30	16		16		16		16		16		16		0.00		0.00		0.00		0.00
31	13		13		13		13		13		13		0.00		0.00		0.00		0.00
32	15		15		15		15		15		15		0.00		0.00		0.00		0.00
33	6		6		6		6		6		6		0.00		0.00		0.00		0.00
34	14		14		14		14		14		14		0.00		0.00		0.00		0.00
35	13		13		13		13		13		13		0.00		0.00		0.00		0.00
36	9		9		9		9		9		9		0.00		0.00		0.00		0.00
37	2		2		2		19		2		17		0.00		0.00		8.50		7.50
38	19		18		19		18		2		17		0.00		-0.89		0.00		-0.06
39	7		7		7		7		7		7		0.00		0.00		0.00		0.00
40	14		14		14		14		14		14		0.00		0.00		0.00		0.00
41	7		7		7		7		7		7		0.00		0.00		0.00		0.00
42	14		14		14		14		14		14		0.00		0.00		0.00		0.00
43	3		3		2		2		1		1		-0.33		-0.67		-0.33		-0.67
44	20		20		1		1		1		20		-0.95		-0.95		-0.95		0.00
45	14		14		14		14		14		14		0.00		0.00		0.00		0.00
46	7		7		7		7		7		7		0.00		0.00		0.00		0.00
47	10		10		10		10		10		10		0.00		0.00		0.00		0.00
48	16		16		16		16		16		16		0.00		0.00		0.00		0.00
49	2		2		1		1		1		18		-0.50		-0.50		-0.50		8.00
50	13		13		13		13		13		13		0.00		0.00		0.00		0.00
51	7		7		7		7		7		7		0.00		0.00		0.00		0.00
52	3		3		3		3		1		1		0.00		-0.67		0.00		-0.67
53	16		16		16		16		16		16		0.00		0.00		0.00		0.00
54	15		15		15		15		15		15		0.00		0.00		0.00		0.00
55	5		5		5		5		2		2		0.00		-0.60		0.00		-0.60
56	7		7		7		7		7		7		0.00		0.00		0.00		0.00
57	13		13		13		13		13		13		0.00		0.00		0.00		0.00
58	5		5		5		5		5		5		0.00		0.00		0.00		0.00
59	7		7		7		7		7		7		0.00		0.00		0.00		0.00
60	17		17		17		17		2		2		0.00		-0.88		0.00		-0.88
61	5		5		5		5		2		2		0.00		-0.60		0.00		-0.60
62	15		15		15		15		15		15		0.00		0.00		0.00		0.00
63	12		12		12		12		12		12		0.00		0.00		0.00		0.00
64	6		6		6		6		6		6		0.00		0.00		0.00		0.00
65	13		13		13		13		13		13		0.00		0.00		0.00		0.00
66	15		15		15		15		15		15		0.00		0.00		0.00		0.00
67	11		11		11		11		11		11		0.00		0.00		0.00		0.00
68	9		9		9		9		9		9		0.00		0.00		0.00		0.00
69	9		9		9		9		9		9		0.00		0.00		0.00		0.00
70	9		9		9		9		9		9		0.00		0.00		0.00		0.00
71	2		2		2		2		2		18		0.00		0.00		0.00		8.00
72	2		2		2		2		2		18		0.00		0.00		0.00		8.00
73	13		13		13		13		13		13		0.00		0.00		0.00		0.00
74	7		7		7		7		7		7		0.00		0.00		0.00		0.00
75	10		10		10		10		10		10		0.00		0.00		0.00		0.00
76	9		9		9		9		9		9		0.00		0.00		0.00		0.00
77	3		3		1		1		1		17		-0.67		-0.67		-0.67		4.67
78	3		3		3		3		1		1		0.00		-0.67		0.00		-0.67
79	6		6		6		6		6		6		0.00		0.00		0.00		0.00
80	7		7		7		7		7		7		0.00		0.00		0.00		0.00
81	18		18		1		1		1		1		-0.94		-0.94		-0.94		-0.94
82	15		15		15		15		2		2		0.00		-0.87		0.00		-0.87
83	9		9		9		9		9		9		0.00		0.00		0.00		0.00
84	7		7		7		7		7		7		0.00		0.00		0.00		0.00
85	8		8		8		8		8		8		0.00		0.00		0.00		0.00
86	8		8		8		8		8		8		0.00		0.00		0.00		0.00
87	10		10		10		10		10		10		0.00		0.00		0.00		0.00
88	15		15		15		15		15		15		0.00		0.00		0.00		0.00
89	15		15		15		15		15		15		0.00		0.00		0.00		0.00
90	8		8		8		8		8		8		0.00		0.00		0.00		0.00
91	14		14		14		14		14		14		0.00		0.00		0.00		0.00
92	6		6		6		6		6		6		0.00		0.00		0.00		0.00
93	17		17		1		17		1		17		-0.94		-0.94		0.00		0.00
94	13		13		13		13		13		13		0.00		0.00		0.00		0.00
95	18		18		1		1		1		1		-0.94		-0.94		-0.94		-0.94
96	16		16		16		16		16		16		0.00		0.00		0.00		0.00
97	17		17		17		17		2		2		0.00		-0.88		0.00		-0.88
98	15		15		15		15		15		15		0.00		0.00		0.00		0.00
99	19		18		19		18		2		17		0.00		-0.89		0.00		-0.06
